STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
182,新規な,しんきな,mới,WCMは8月末までに415店舗を新規オープンし、年間計画（400～700店舗）通りのペースを維持しました。,"Tính đến hết tháng 8, WCM đã khai trương 415 cửa hàng mới, đúng tiến độ kế hoạch năm (400-700 cửa hàng).",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
183,非常な,ひじょうな,"rất, cực kỳ",景気の動向が不透明なまま増税が行われた場合の消費者心理について、新たな見解も交えながら非常にわかりやすく説明していただきました。 ,"Anh/chị đã giải thích rất dễ hiểu về tâm lý của người tiêu dùng trong trường hợp tăng thuế khi xu hướng kinh tế vẫn còn mờ mịt, đồng thời đưa ra cả những quan điểm mới.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.163,,,
184,素敵な,すてきな,tuyệt vời,また、新しいクライアントを紹介くださり、ありがとうございました。おかげさまで実り多い滞在となりましたし、素敵な夕食を楽しめました。,"Ngoài ra, cảm ơn anh/chị đã giới thiệu khách hàng mới cho tôi. Nhờ vậy mà chuyến công tác lần này đã rất hiệu quả, và tôi cũng đã có một bữa tối thật tuyệt vời.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.169,,,
185,プライベートな,プライベートな,riêng tư,慰労パーティーのためプライベートダイニングルームを予約したいと思っています。,Tôi muốn đặt một phòng ăn riêng để tổ chức buổi tiệc tri ân,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.170,,,
186,着実な,ちゃくじつな,"vững chắc, đều đặn",国内の購買力、特に食品、飲料、生活必需品の購買力は着実に回復しており、現代の小売チェーンが年末の繁忙期に突入するための足掛かりとなっている。,"Sức mua nội địa, đặc biệt với thực phẩm, đồ uống và nhu yếu phẩm, đang phục hồi ổn định, tạo bệ phóng cho các chuỗi bán lẻ hiện đại bước vào mùa cao điểm cuối năm.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
187,飛躍的な,ひやくてきな,"bứt phá, nhảy vọt",通販売計画につきましては、順調に数字に結び付いているのですが、その反面、飛躍的な数字は期待できないのが現状です,"Về kế hoạch bán hàng qua kênh trực tuyến, hiện nay các con số đang tiến triển thuận lợi, tuy nhiên ở chiều ngược lại, thực tế cho thấy khó có thể kỳ vọng những bước nhảy vọt.",「BJTビジネス日本語能力テスト 模試と対策」p.134,,,
188,近場な,ちかばな,gần,そうだね。じゃ、近場で。,"Ừ, đúng rồi. Vậy thì mình chọn chỗ gần đây thôi.",「BJTビジネス日本語能力テスト 模試と対策」p.134,,,
189,別途な,べっとな,riêng,ああ、それは別途請求してください,"À, phần đó xin hãy xuất hoá đơn riêng.",「BJTビジネス日本語能力テスト 模試と対策」p.130,,,
190,さわやかな,さわやかな,tươi mới,とてもすっきりしてて、この商品のコンセプトになっているさわやかなイメージがよく出ていますね。 ,"Thiết kế rất tinh gọn, toát lên rõ nét sự tươi mới – đúng với ý tưởng chủ đạo của sản phẩm.",「BJTビジネス日本語能力テスト 模試と対策」p.128,,,
191,基本的な,きほんてきな,cơ bản,計画期間中の重要な任務の一つは、科学技術、イノベーション、デジタル変革を主な原動力として、新たな成長モデルを確立しながら、国家インフラの枠組みを基本的に形成することです。,"Một trong những nhiệm vụ trọng tâm trong thời kỳ quy hoạch là hình thành cơ bản bộ khung kết cấu hạ tầng quốc gia đồng thời xác lập mô hình tăng trưởng mới, lấy khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số là động lực chính.",https://www.vietnam.vn/ja/viet-nam-dat-muc-tieu-gdp-binh-quan-8-500-usd-nguoi-vao-nam-2030,https://dantri.com.vn/kinh-doanh/viet-nam-dat-muc-tieu-gdp-binh-quan-8500-usdnguoi-vao-nam-2030-20251007144945804.htm,,
192,当然な,とうぜんな,hiển nhiên,当然のことなんですが、借入期間と金額によって、かなり金利に差があります,"Điều này thì đương nhiên, nhưng lãi suất có sự chênh lệch khá lớn tùy theo thời hạn vay và số tiền vay.",「BJTビジネス日本語能力テスト 模試と対策」p.122,,,
193,政治的な,せいじてきな,chính trị,ただ、海外での工場建設には、莫大な投資を必要としますので、政治的な安定は欠かせません。,"Tuy nhiên, việc xây dựng nhà máy ở nước ngoài đòi hỏi một khoản đầu tư khổng lồ, vì vậy sự ổn định về chính trị là điều không thể thiếu.",「BJTビジネス日本語能力テスト 模試と対策」p.118,,,
194,安定な,あんていな,ổn định,ただ、海外での工場建設には、莫大な投資を必要としますので、政治的な安定は欠かせません。,"Tuy nhiên, việc xây dựng nhà máy ở nước ngoài đòi hỏi một khoản đầu tư khổng lồ, vì vậy sự ổn định về chính trị là điều không thể thiếu.",「BJTビジネス日本語能力テスト 模試と対策」p.118,,,
195,ヘルシーな,ヘルシーな,tốt cho sức khỏe,和食がお好みなんだ。和食はヘルシーだし、見た目がきれいだってお気に入りなんだよ,"Anh/chị ấy thích món Nhật. Vì món Nhật vừa tốt cho sức khỏe, lại còn có vẻ ngoài đẹp nên rất ưa chuộng.",「BJTビジネス日本語能力テスト 模試と対策」p.114,,,
196,きれいな,きれいな,đẹp ,和食がお好みなんだ。和食はヘルシーだし、見た目がきれいだってお気に入りなんだよ,"Anh/chị ấy thích món Nhật. Vì món Nhật vừa tốt cho sức khỏe, lại còn có vẻ ngoài đẹp nên rất ưa chuộng.",「BJTビジネス日本語能力テスト 模試と対策」p.114,,,
197,多機能な,たきのうな,đa chức năng,新しい改札機には多機能リーダーが統合されており、ICチップ付きIDカードから国際決済カードまで、あらゆる種類のカードを認識・処理できます。,"Các cổng soát vé mới tích hợp đầu đọc đa chức năng, có thể nhận diện và xử lý mọi loại thẻ - từ căn cước công dân gắn chip đến thẻ thanh toán quốc tế.",https://www.vietnam.vn/ja/mat-0-2-giay-de-thanh-toan-ve-tau-cat-linh-ha-dong,https://vietnamnet.vn/mat-0-2-giay-de-thanh-toan-ve-tau-cat-linh-ha-dong-2449980.html,,
198,可能な,かのうな,khả năng,場合によっては会議に出席できない可能性もあるので、会議はかっこマークを付けておいてくれませんか。 ,"Vì có khả năng tôi có thể không tham dự được cuộc họp, nên bạn ghi cuộc họp trong ngoặc giúp tôi được không?",「BJTビジネス日本語能力テスト 模試と対策」p.110,,,
199,知的な,ちてきな,trí tuệ ,なんと言っても、最後は知的財産が勝負の決め手になるからね。 ,"Suy cho cùng, cuối cùng thì quyền sở hữu trí tuệ mới là yếu tố quyết định thắng bại.",「BJTビジネス日本語能力テスト 模試と対策」p.104,,,
200,最重要な,さいじゅうような,quan trọng nhất,わが社の最重要プロジェクトですから、お役に立てることがあったら何なりと。,"Vì đây là dự án quan trọng nhất của công ty chúng tôi, nếu có việc gì tôi có thể hỗ trợ thì xin cứ cho biết.",「BJTビジネス日本語能力テスト 模試と対策」p.102,,,
201,技術的な,ぎじゅつてきな,kỹ thuật,じゃ、近いうちに両方のエンジニアを交えてもう少し技術的な話をしましょう。 ,"Vậy thì trong thời gian tới, chúng ta hãy cùng trao đổi thêm về mặt kỹ thuật với cả kỹ sư của hai bên tham gia.",「BJTビジネス日本語能力テスト 模試と対策」p.100,,,
202,活動的な,かつどうてきな,năng động,彼女たちは活動的だし、それに自由に使えるお金を持っていますからね。,"Họ rất năng động, hơn nữa còn có tiền để tự do chi tiêu nữa.",「BJTビジネス日本語能力テスト 模試と対策」p.96,,,
203,肝心な,かんじんな,quan trọng nhất,しかし、言うまでもありませんが、一番肝心なことは、安全最優先で仕事をすることです。,"Tuy nhiên, điều quan trọng nhất vẫn là làm việc với tiêu chí an toàn đặt lên hàng đầu.",「BJTビジネス日本語能力テスト 模試と対策」p.88,,,
204,盛大な,せいだいな,hoành tráng,パーティーの方は、会社として盛大にやるらしいんだけど、打ち上げは2次会だし、部内だけでうちうちにって部長に言われててさ。,"Tiệc của công ty thì nghe nói sẽ làm hoành tráng lắm, nhưng tiệc liên hoan thì chỉ là buổi 2 thôi. Trưởng phòng bảo là cứ làm trong nội bộ thôi.",「BJTビジネス日本語能力テスト 模試と対策」p.84,,,
205,雑な,ざつな,cẩu thả,ああ、そうだねえ。いつものところは最近仕事が雑になってきたからねえ。,"À, đúng nhỉ. Chỗ hay đi gần đây công việc làm hơi cẩu thả rồi",「BJTビジネス日本語能力テスト 模試と対策」p.78,,,
206,抜本的,ばっぽんてき, triệt để,この運動の真の狙いは単なる経費削減ではなく、運動を通じて社員一人ひとりの意識を改革することと、それにより企業体質を抜本的に改革すること,"Mục tiêu thực sự của chiến dịch này không chỉ là cắt giảm chi phí, mà còn là thông qua chiến dịch để thay đổi nhận thức của từng nhân viên, từ đó cải tổ cơ cấu và nền tảng của công ty một cách triệt để.",「BJTビジネス日本語能力テスト 模試と対策」p.62,,,
207,多用な,たような,bận rộn,先日はご多用中のところをご来社くださり、ありがとうございました。 ,Xin cảm ơn ông/bà trong thời điểm bận rộn đã dành thời gian quý báu đến thăm công ty chúng tôi hôm trước.,「BJTビジネス日本語能力テスト 模試と対策」p.61,,,
208,不安定な,ふあんていな,"không ổn định, biến động",米株式市場は不安定な週を過ごした。投資家心理は米連邦準備制度理事会（FRB）の声明、予想を上回る経済データ、金融政策の見通しに関するまちまちのシグナルに左右された。,"Thị trường chứng khoán Mỹ đã trải qua một tuần đầy biến động, khi tâm lý nhà đầu tư bị chi phối bởi những phát biểu từ Cục Dự trữ liên bang Mỹ (Fed), dữ liệu kinh tế vượt kỳ vọng và các tín hiệu trái chiều về triển vọng chính sách tiền tệ. ",https://www.vietnam.vn/ja/s-p-500-va-nasdaq-cham-dut-chuoi-ba-tuan-tang-lien-tiep,https://baotintuc.vn/thi-truong-tien-te/sp-500-va-nasdaq-cham-dut-chuoi-ba-tuan-tang-lien-tiep-20250927140937234.htm,,
209,相当な,そうとうな,"đáng kể, tương đối lớn",今回は従来の抜き取り方式ではなく全品棚卸しとなりますので貴社には相当のご負担をお掛けすることになりますが、以上の事情をご賢察の上よろしくお願いする次第です。,"Lần này sẽ tiến hành kiểm kê toàn bộ hàng hóa thay vì phương pháp kiểm tra mẫu như trước đây, nên chắc chắn sẽ gây ra một phần gánh nặng đáng kể cho quý công ty. Rất mong quý công ty thông cảm và hợp tác, dựa trên những lý do nêu trên.",「BJTビジネス日本語能力テスト 模試と対策」p.56,,,
210,地道な,じみちな,nỗ lực bền bỉ,これは、当社が“お客さまの用”基本方針として、お客さまに満足していただけるよう、仕事の規模の大小を問わず地道な努力を重ねてきた結果であると確信しております。,"Chúng tôi tin chắc rằng đây là kết quả của việc công ty đã kiên trì nỗ lực, dù công việc lớn hay nhỏ, nhằm mang lại sự hài lòng cho khách hàng, theo phương châm cơ bản ‘vì lợi ích của khách hàng’",「BJTビジネス日本語能力テスト 模試と対策」p.51,,,
211,人間的な,にんげんてきな,mang tính con người,こうした真の親睦を通して、ザ・ハイはより「人間的」で、親しみやすく、顧客に近い存在へと成長していきます。 ,"Từ sự đồng hành chân thực đó mà The High cũng trở nên ""con người"" hơn, dễ tiếp cận và gần gũi với khách hàng.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
212,容易な,よういな,"Đơn giản, dễ dàng",信頼、明確なブランドパーソナリティ、そしてコミュニティへのエンゲージメントは、この戦略がもたらす中核的な価値であり、企業が生き残るだけでなく、市場で容易に躍進する助けとなります。,"Sự tin tưởng, tính cách thương hiệu rõ nét và sự gắn kết cộng đồng là những giá trị cốt lõi mà chiến lược này mang lại, giúp doanh nghiệp không chỉ tồn tại mà còn dễ dàng bứt phá trên thị trường.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
213,典型的な,てんけいてきな,điển hình,化粧品ブランド「The High」のCEO、Truong Hien氏は、この戦略の典型的な例です。,CEO Trương Hiền của thương hiệu mỹ phẩm The High là một ví dụ điển hình cho chiến lược này.,https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
214,直接的な,ちょくせつてきな,trực tiếp,こうした直接的な関係が、顧客が耳を傾けられ、尊重されていると感じられる、忠実な顧客コミュニティを形成しています。,"Mối quan hệ trực tiếp này tạo ra một cộng đồng khách hàng trung thành, nơi họ cảm thấy mình được lắng nghe và tôn trọng.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
215,精力的な,せいりょくてきな,đầy năng lượng,注目すべき例としては、精力的な製品プレゼンテーションで知られるAppleの伝説的人物、スティーブ・ジョブズが挙げられます。,Có thể kể đến những ví dụ nổi bật như huyền thoại Steve Jobs của Apple được biết đến với những bài thuyết trình sản phẩm đầy năng lượng.,https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
216,伝説的な,でんせつてきな,huyền thoại ,注目すべき例としては、精力的な製品プレゼンテーションで知られるAppleの伝説的人物、スティーブ・ジョブズが挙げられます。,Có thể kể đến những ví dụ nổi bật như huyền thoại Steve Jobs của Apple được biết đến với những bài thuyết trình sản phẩm đầy năng lượng.,https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
217,スマートな,スマートな,thông minh,透明性と繋がりが重視される時代において、CEOがブランドアンバサダーとして積極的に活動することは、単なるトレンドではなく、スマートなコミュニケーション手段でもあります。,"Trong kỷ nguyên của sự minh bạch và kết nối, việc các CEO bước ra làm đại diện thương hiệu không chỉ là một xu hướng mà còn là một cách làm truyền thông thông minh. ",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
218,明確な,めいかくな,rõ ràng ,CEOのTruong Hien氏とThe Highは、リーダーが自らの評判とストーリーをブランドに反映させることで、持続可能で深みのあるビジネス戦略を構築できることを明確に示しています。,"CEO Trương Hiền và The High là minh chứng rõ ràng cho thấy khi người đứng đầu sẵn sàng đặt uy tín và câu chuyện của mình vào thương hiệu, sẽ tạo ra một chiến lược kinh doanh bền vững và sâu sắc.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
219,高品質な,こうひんしつな,chất lượng cao,2030年までにメコンデルタでグリーン成長を伴う100万ヘクタールの高品質で低排出の稲作の持続的開発,"Phát triển bền vững một triệu ha chuyên canh lúa chất lượng cao, phát thải thấp gắn với tăng trưởng xanh vùng ĐBSCL đến năm 2030",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,,
220,包括的な,ほうかつてきな, toàn diện,"メコンデルタ6県で25回の研修・デモンストレーションを実施した結果、2,097人の農家、協同組合員、農業普及員の能力向上に包括的な効果をもたらしました。","Qua 25 sự kiện đào tạo và trình diễn tại 6 tỉnh Đồng bằng sông Cửu Long, các dự án đã mang lại hiệu quả toàn diện khi nâng cao năng lực cho 2.097 lượt nông dân, thành viên hợp tác xã và cán bộ khuyến nông.",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,,
221,前向きな,まえむきな,tích cực,長年にわたり農家を支援してきましたが、特に藁に関して、米の生産においてこれほど力強く前向きな変化を目にしたことは一度もありません。,"Suốt nhiều năm đồng hành cùng bà con, tôi chưa bao giờ thấy sự thay đổi mạnh mẽ và tích cực trong sản xuất lúa như thế này nhất là đối với rơm rạ",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,,
222,熱心な,ねっしんな,hào hứng,伝統的な方法で藁を燃やす習慣から、キノコ栽培や藁からの有機肥料生産といった実用的メリットを目の当たりにした人々は、循環型経済モデルに対して徐々にオープンになり、熱心に考えるようになりました,"Từ thói quen đốt rơm rạ theo cách truyền thống, bà con đã dần cởi mở và hào hứng với mô hình kinh tế tuần hoàn khi thấy được lợi ích thiết thực từ việc trồng nấm và sản xuất phân hữu cơ từ rơm rạ. ",https://www.vietnam.vn/ja/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam,https://baochinhphu.vn/thuc-day-kinh-te-tuan-hoan-tu-rom-ra-qua-ngay-hoi-nong-dan-trong-nam-102250923190137343.htm,,
223,厳粛な,げんしゅくな,"trọng thị, trang trọng",ニューヨーク証券取引所（NYSE）のリン・マーティン社長による厳粛な歓迎の中、グエン・ティ・フォン・タオ氏は、ベトジェットやHDバンクなどを含むHOSE上場企業を例に、過去30年間のベトナム資本市場の力強い発展について語りました,"Trong sự đón tiếp trọng thị của bà Lynn Martin(Chủ tịch NYSE), bà Nguyễn Thị Phương Thảo đã chia sẻ sự phát triển mạnh mẽ của thị trường vốn Việt Nam trong 30 năm qua, với các doanh nghiệp niêm yết trên HOSE, như Vietjet và HDBank. ",https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
224,ダイナミックな,ダイナミックな,năng động,NYSEへの訪問は、ベトジェット、HDバンク、ベトナム企業に新たな機会をもたらすだけでなく、グローバル化の時代に繁栄しようと強く願う、ダイナミックで統合されたベトナムのイメージを広めることになります。,"Chuyến thăm NYSE không chỉ mở ra cơ hội mới cho Vietjet, HDBank và các doanh nghiệp Việt Nam, mà còn lan tỏa hình ảnh một Việt Nam năng động, hội nhập và khát vọng vươn mình mạnh mẽ trong kỷ nguyên toàn cầu hóa.",https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
225,低価格な,ていかかくな,giá thấp,これが、ソン・キム・ランドのような高級住宅分野の大手企業と、ビーコンズ・ランドのような低価格住宅を専門とする企業の両方が参加を決めた理由です。 ,"Điều này lý giải vì sao cả những ông lớn trong phân khúc cao cấp như Sơn Kim Land, lẫn các doanh nghiệp chuyên làm nhà ở giá thấp như Bcons Land quyết định tham gia.",https://www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-hoang-o-thu-thiem-196250919130352158.htm,,
226,実現可能な,じつげんかのうな,khả thi,天然資源・環境経済研究所（IEEr）所長のファム・ヴィエット・トゥアン博士によると、移住用アパートの機能を商業住宅に転換することで実現可能な方向性が開かれたという。,"Theo TS Phạm Viết Thuận, Viện trưởng Viện Kinh tế Tài nguyên và Môi trường (IEEr), việc chuyển đổi công năng các căn hộ tái định cư sang nhà ở thương mại đã mở ra hướng đi khả thi. ",https://www.vietnam.vn/ja/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3-790-can-ho-bo-hoang-o-thu-thiem,https://nld.com.vn/mot-loat-dai-gia-dua-nhau-dang-ky-dau-gia-3790-can-ho-bo-hoang-o-thu-thiem-196250919130352158.htm,,
227,無関係な,むかんけいな,không liên quan,したがって、第一審判決および控訴審判決はともに、ThuDuc Houseの正当な権利と利益は無関係であり、同社は税金還付額および関連する延滞利息について責任を負わないことを確認した。 ,"Như vậy, cả bản án sơ thẩm lẫn phúc thẩm đều khẳng định quyền và lợi ích hợp pháp của ThuDuc House là không liên quan và không phải chịu trách nhiệm đối với số tiền hoàn thuế và khoản lãi chậm nộp có liên quan.",https://www.vietnam.vn/ja/thuduc-house-thang-kien-thue-gtgt-365-ti-co-phieu-tang-manh,https://nld.com.vn/mot-doanh-nghiep-bat-dong-san-thang-kien-co-quan-thue-196250924130717958.htm,,
228,正当な,しょうとうな,hợp pháp,したがって、第一審判決および控訴審判決はともに、ThuDuc Houseの正当な権利と利益は無関係であり、同社は税金還付額および関連する延滞利息について責任を負わないことを確認した。 ,"Như vậy, cả bản án sơ thẩm lẫn phúc thẩm đều khẳng định quyền và lợi ích hợp pháp của ThuDuc House là không liên quan và không phải chịu trách nhiệm đối với số tiền hoàn thuế và khoản lãi chậm nộp có liên quan.",https://www.vietnam.vn/ja/thuduc-house-thang-kien-thue-gtgt-365-ti-co-phieu-tang-manh,https://nld.com.vn/mot-doanh-nghiep-bat-dong-san-thang-kien-co-quan-thue-196250924130717958.htm,,
229,予想外な,よそうがいな,bất ngờ,1台250万ドンから始まるiPhone 500台のオークション：予想外の結果,"Đấu giá 500 iPhone với giá từ 2,5 triệu đồng/chiếc: Kết quả bất ngờ",https://www.vietnam.vn/ja/dau-gia-500-iphone-voi-gia-tu-2-5-trieu-dong-chiec-ket-qua-bat-ngo,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm,,
230,有名な,ゆうめいな,"quen thuộc, nổi tiếng",オークションに出品されている品物には、Samsung、iPhone、Nokia、Oppo など、多くの有名ブランドの携帯電話が含まれています。,"Trong danh mục hàng hóa đấu giá là điện thoại di động có nhiều thương hiệu quen thuộc như Samsung, iPhone, Nokia, Oppo…",https://www.vietnam.vn/ja/dau-gia-500-iphone-voi-gia-tu-2-5-trieu-dong-chiec-ket-qua-bat-ngo,https://dantri.com.vn/kinh-doanh/dau-gia-500-iphone-voi-gia-tu-25-trieu-dongchiec-ket-qua-bat-ngo-20250924174149089.htm,,
231,堅固な,けんごな,vững chắc,今年の最初の8か月間の業績が堅固な基盤となり、10兆VNDを超えるという第3四半期の売上高目標は、同社によって「達成可能」と評価されている。,"Với nền tảng vững chắc từ kết quả 8 tháng đầu năm, mục tiêu doanh thu quý III vượt 10.000 tỷ đồng được chuỗi đánh giá là “trong tầm tay”.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
232,効果的な,こうかてきな,hiệu quả,賢明な拡張戦略、効果的な技術の応用、市場ニーズの理解により、WCM は今後の転換点を創出する準備ができています。 ,"Với chiến lược mở rộng thông minh, ứng dụng công nghệ hiệu quả và sự am hiểu nhu cầu thị trường, WCM đang sẵn sàng để tạo nên bước ngoặt trong thời gian tới.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
233,急速な,きゅうそくな,nhanh chóng,レオ・チェン氏は、近年のAIの急速な発展は企業にとって3つの大きな課題を突きつけていると述べた。,"Ông Leo Chen cho rằng, sự phát triển nhanh chóng của AI trong những năm gần đây đang đặt ra ba thách thức lớn cho doanh nghiệp",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
234,様々な,さまざまな,Khác nhau,銀行業界において、ファーウェイはシステムエンジニアリング機能をビジネスプロセスに統合する柔軟なマスタースレーブエージェントアーキテクチャを開発しています。このソリューションは、取引、顧客とのやり取り、リスク管理など、様々なシナリオに適用され、銀行の収益増加、業務効率の向上、リスク管理の効率化に貢献しています。,"Trong ngành ngân hàng, Huawei phát triển kiến trúc agent chính - phụ động linh hoạt, tích hợp năng lực kỹ thuật hệ thống vào quy trình nghiệp vụ. Giải pháp này đã được ứng dụng trong các kịch bản khác nhau như giao dịch, tương tác với khách hàng và kiểm soát rủi ro, giúp ngân hàng tăng doanh thu, nâng cao hiệu quả vận hành và quản lý rủi ro hiệu quả hơn.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
235,特殊な,とくしゅな,"chuyên biệt, chuyên ngành",産業環境では効果のない汎用モデルを使用するのではなく、高品質のデータから特殊な AI モデルをトレーニングする必要があります。,"mô hình AI chuyên ngành cần được huấn luyện từ dữ liệu chất lượng cao, thay vì sử dụng các mô hình phổ thông vốn không hiệu quả trong môi trường công nghiệp",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401160,,
236,本質的な,ほんしつてきな,bản chất,ソーシャルコマースは、本質的にショッピングとエンターテイメントを組み合わせたものです。企業は、明確なニーズを持たない顧客の最大70%にリーチし、受動的な消費者基盤を拡大することができます。,"Social commerce bản chất là sự kết hợp giữa mua sắm và giải trí. Nó cho phép doanh nghiệp tiếp cận tới 70% khách hàng chưa có nhu cầu rõ ràng, mở rộng một tệp tiêu dùng bị động.",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,,
