STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
166,不明な,ふめいな,không rõ,目標は、原産地が不明な食品や不衛生な品質の食品を購入しないよう、国民の意識を高めることです。さらに、食品生産者、加工業者、そして取引業者の倫理的側面に特に重点を置きます。,"Mục tiêu là nâng cao nhận thức cộng đồng về việc không mua thực phẩm không rõ nguồn gốc và không đảm bảo chất lượng vệ sinh. Bên cạnh đó, yếu tố đạo đức của người sản xuất, chế biến, và kinh doanh thực phẩm sẽ được đặc biệt đề cao.",https://www.vietnam.vn/ja/doanh-nghiep-vi-pham-an-toan-thuc-pham-o-ha-noi-se-bi-cong-khai-thong-tin,https://baodautu.vn/doanh-nghiep-vi-pham-an-toan-thuc-pham-o-ha-noi-se-bi-cong-khai-thong-tin-d251818.html,,
167,寛容な,かんような,cầu thị,会議に出席した多くの企業の代表者は、政府の寛容な姿勢に賛同し、感謝の意を表した。多くの発言は、物流インフラの改善、信用支援、税制、そして質の高い人材の育成といった、企業の持続的な発展を支援するための「鍵」となる要素に焦点を当てていた。,"Đại diện nhiều doanh nghiệp tại buổi gặp gỡ đã bày tỏ sự đồng thuận và đánh giá cao tinh thần cầu thị của chính quyền. Nhiều ý kiến góp ý tập trung vào việc cải thiện hạ tầng logistics, hỗ trợ tín dụng, chính sách thuế và đào tạo nguồn nhân lực chất lượng cao – những yếu tố được xem là ""chìa khóa"" giúp doanh nghiệp phát triển bền vững.",https://www.vietnam.vn/ja/vinh-long-kien-tao-moi-truong-dau-tu-thuan-loi-phat-trien-ben-vung,https://baochinhphu.vn/vinh-long-kien-tao-moi-truong-dau-tu-thuan-loi-phat-trien-ben-vung-102251013171346209.htm,,
168,万全な,ばんぜんな,"triệt để, tốt",ナム・ア銀行は、ベトナムにおける持続可能な開発とグリーンクレジットの促進を目的として、スイスのResponsAbility Fund Management Companyと覚書を締結しました。また、移行プロセスへの万全な準備として、国際的な資金調達源の多様化にも注力しています。,Nam A Bank đã ký kết biên bản ghi nhớ hợp tác với Công ty Quản lý quỹ ResponsAbility (Thụy Sĩ) nhằm thúc đẩy phát triển bền vững và tín dụng xanh tại Việt Nam. Ngân hàng cũng tập trung đa dạng các nguồn vốn quốc tế nhằm chuẩn bị tốt cho quá trình chuyển đổi.,https://www.vietnam.vn/ja/giai-phap-thuc-hien-hoa-muc-tieu-dua-tp-ho-chi-minh-thanh-trung-tam-tai-chinh-quoc-te,https://thoibaonganhang.vn/giai-phap-thuc-hien-hoa-muc-tieu-dua-tp-ho-chi-minh-thanh-trung-tam-tai-chinh-quoc-te-162310.html,,
169,正直な,しょうじきな,thành thật,すべての損失を運命のせいにしてはいけません。市場には常に、自分ではコントロールできないランダム性、つまり不運が存在します。「しかし、多くの場合、私たちは誤った判断を下します」とマクウィリアムズ氏は率直に言います。自分に正直になり、失敗を分析して同じことを繰り返さないようにしましょう。それが成長する唯一の方法です。,"Đừng đổ lỗi cho số phận mỗi khi thua lỗ. Luôn có một phần ngẫu nhiên trong thị trường mà bạn không thể kiểm soát, đó là xui xẻo. ""Nhưng trong rất nhiều trường hợp, chính chúng ta là người đưa ra quyết định tồi"", McWilliams thẳng thắn. Hãy thành thật với bản thân, phân tích sai lầm để không lặp lại. Đó là cách duy nhất để trưởng thành.",https://www.vietnam.vn/ja/vi-sao-chuyen-gia-khuyen-gen-z-tu-bo-tien-mat-de-hoc-cach-mua-thoi-gian,https://dantri.com.vn/kinh-doanh/vi-sao-chuyen-gia-khuyen-gen-z-tu-bo-tien-mat-de-hoc-cach-mua-thoi-gian-20251011073149512.htm,,
170,甚大な,じんだいな,"to lớn, khổng lồ",米国議会における長期にわたる予算難航により、連邦政府は2週間以上にわたり一部閉鎖を余儀なくされ、世界最大の経済大国である米国に甚大な打撃を与えています。多くの専門家は、この混乱により米国は1日あたり約150億ドルの生産損失を被っていると推定しており、これは政治的意見の相違がもたらす莫大なコストを反映しています。,"Tình trạng bế tắc ngân sách kéo dài tại Quốc hội Mỹ khiến Chính phủ liên bang phải tạm ngừng một phần hoạt động hơn hai tuần qua, gây tổn thất đáng kể cho nền kinh tế lớn nhất thế giới. Nhiều chuyên gia ước tính sự gián đoạn này khiến Mỹ thiệt hại khoảng 15 tỷ USD mỗi ngày về sản lượng – con số phản ánh chi phí khổng lồ của bất đồng chính trị.",https://www.vietnam.vn/ja/kinh-te-my-chiu-ton-that-vi-be-tac-ngan-sach,https://vtv.vn/kinh-te-my-chiu-ton-that-vi-be-tac-ngan-sach-10025101623361496.htm,,
171,無事な,ぶじな,"Bình an, vô sự",〇〇様、ならびに従業員の皆様方がご無事であることを心より祈念いたしております。,tôi chân thành cầu chúc cho ông/bà 〇〇 cùng toàn thể nhân viên đều được bình an.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.156,,,
172,新規な,しんきな,mới,WCMは8月末までに415店舗を新規オープンし、年間計画（400～700店舗）通りのペースを維持しました。,"Tính đến hết tháng 8, WCM đã khai trương 415 cửa hàng mới, đúng tiến độ kế hoạch năm (400-700 cửa hàng).",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
173,非常な,ひじょうな,"rất, cực kỳ",1986年から1990年にかけての期間を経て、改修プロセスは非常に重要な初期の成果を達成しました。国内総生産（GDP）は年間4.4％増加し、 農業の総生産額は平均で年間3.8～4％増加し、産業は平均で年間7.4％増加し、そのうち消費財生産は年間13～14％増加し、輸出売上高は年間28％増加しました。,"Sau giai đoạn 1986-1990, công cuộc đổi mới đạt được những thành tựu bước đầu rất quan trọng: Tổng sản phẩm nội địa (GDP) tăng 4,4%/năm; tổng giá trị sản xuất nông nghiệp tăng bình quân 3,8-4%/năm; công nghiệp tăng bình quân 7,4%/năm, trong đó sản xuất hàng tiêu dùng tăng 13-14%/năm; giá trị kim ngạch xuất khẩu tăng 28%/năm.",https://www.vietnam.vn/ja/kinh-te-viet-nam,https://hanoimoi.vn/kinh-te-viet-nam-san-sang-but-pha-trong-ky-nguyen-vuon-minh-700945.html,,
174,素敵な,すてきな,"tuyệt vời, đẹp",2億VNDを預入し、1～36ヶ月の期間で預入いただいたお客様には、預入金額と利息受取方法に応じて5万～8万VND相当のギフトを進呈いたします。特に、2億VND以上を預入し、最低6ヶ月の期間で預入いただいたお客様には、500万VND相当の素敵な口座番号を進呈いたします。," với khoản tiền gửi từ 200 triệu đồng, kỳ hạn 1-36 tháng, người gửi sẽ được tặng quà trị giá 50.000 - 80.000 đồng, tùy theo số tiền gửi và phương thức nhận lãi. Đặc biệt, khách hàng gửi từ 200 triệu đồng trở lên, kỳ hạn tối thiểu 6 tháng, còn được tặng tài khoản số đẹp trị giá 5 triệu đồng.",https://www.vietnam.vn/ja/lan-song-tang-lai-suat-ngan-hang-lan-rong,https://baotintuc.vn/tai-chinh-ngan-hang/lan-song-tang-lai-suat-ngan-hang-lan-rong-20251024144004374.htm,,
175,プライベートな,プライベートな,"riêng tư, cá nhân",VPBankの収益性ツールキットには、2つのオプションが含まれています。1つは「Super Profitability」で、口座内の資金に毎日利回りを確保しながら、柔軟な引き出しと支出を可能にします。もう1つは「Super Prosperity」で、1億円以上の利益を生み出しつつ、必要に応じて流動性を確保するのに役立ちます。これらのツールは、資金を「静止」させるのではなく、時間や複雑な操作を必要とせずに、資金源の価値を高めるのに役立ちます。これにより、お客様は安心して家計を管理し、プライベートな生活を送ることができます。,"Bộ công cụ Sinh lời của VPBank gồm hai lựa chọn: Super Sinh Lời, cho phép tiền trong tài khoản vừa có lợi suất hằng ngày vừa đảm bảo khả năng rút chi tiêu linh hoạt; và Super Thịnh Vượng, phù hợp để sinh lời cho khoản tiền từ 100 triệu trở lên nhưng vẫn đảm bảo khả năng thanh khoản ngay khi cần. Thay vì để tiền ""nằm im"", những công cụ như vậy sẽ giúp nguồn tiền gia tăng giá trị, đồng thời không đòi hỏi quá nhiều thời gian hay thao tác phức tạp; giúp bạn vừa an tâm về tài chính lẫn chu toàn đời sống cá nhân.",https://www.vietnam.vn/ja/tham-vong-va-tham-lam-ranh-gioi-ma-ai-cung-nen-nhan-dien,https://vtv.vn/tham-vong-va-tham-lam-ranh-gioi-ma-ai-cung-nen-nhan-dien-100251017143119368.htm,,
176,着実な,ちゃくじつな,"vững chắc, đều đặn",国内の購買力、特に食品、飲料、生活必需品の購買力は着実に回復しており、現代の小売チェーンが年末の繁忙期に突入するための足掛かりとなっている。,"Sức mua nội địa, đặc biệt với thực phẩm, đồ uống và nhu yếu phẩm, đang phục hồi ổn định, tạo bệ phóng cho các chuỗi bán lẻ hiện đại bước vào mùa cao điểm cuối năm.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
177,飛躍的な,ひやくてきな,"bứt phá, nhảy vọt",パンデミックの影響から力強く回復したベトナム経済は、成長モデル転換プロセスの重要な節目を迎え、飛躍的な発展を遂げています。 財務省統計総局によると、2025年第3四半期のGDPは同期間に8.23%増加し、通年では約8.3～8.5%に達すると予想されています。この成果は、ベトナムが地域で最も活力のある経済大国の一つとしての地位を堅持し続ける上で大きな助けとなります。しかし、政府と専門家が目指すのは、2026年から2030年にかけて平均2桁成長を達成するという大きな目標です。,"Sau giai đoạn phục hồi mạnh mẽ từ ảnh hưởng của đại dịch, kinh tế Việt Nam đang đứng trước ngưỡng cửa quan trọng của quá trình chuyển đổi mô hình tăng trưởng để bứt phá. Theo Cục Thống kê (Bộ Tài chính), GDP quý III/2025 tăng 8,23% so với cùng kỳ và dự kiến cả năm đạt khoảng 8,3–8,5%. Thành tích này giúp Việt Nam tiếp tục khẳng định vị thế là một trong những nền kinh tế năng động nhất khu vực. Tuy nhiên, khát vọng lớn hơn mà Chính phủ và giới chuyên gia hướng tới là mục tiêu tăng trưởng bình quân hai con số trong giai đoạn 2026–2030.",https://www.vietnam.vn/ja/the-che-but-pha-tang-truong-but-toc,https://vtv.vn/the-che-but-pha-tang-truong-but-toc-100251022111331038.htm,,
178,近場な,ちかばな,gần,国連観光局は、交通費と宿泊費の高騰により、観光客は近場への旅行、滞在期間の短縮、支出額の減少といった傾向にあると指摘しています。さらに、観光客の信頼を損なわせる経済・地政学的な不安定性といった他の要因も、観光の成長にとって課題となっています。,"UN Tourism chỉ ra chi phí vận tải và lưu trú tăng cao khiến khách du lịch có xu hướng đi gần, lưu trú ngắn ngày hoặc chi tiêu tiết kiệm hơn. Bên cạnh đó, các yếu tố khác như bất ổn về kinh tế, địa chính trị làm suy giảm niềm tin của du khách, cũng đặt ra những thách thức cho tăng trưởng du lịch. ",https://www.vietnam.vn/ja/du-li-ch-toan-cau-du-bao-tang-5-trong-nam-2025-vie-t-nam-la-die-m-sa-ng,https://tuoitre.vn/du-lich-toan-cau-du-bao-tang-5-trong-nam-2025-viet-nam-la-diem-sang-20251008141357376.htm#content,,
179,別途な,べっとな,riêng,首相は各企業の請願に直接応え、企業の懸念に同情を示し、決議には中小企業向けの資本だけでなく土地支援についても別途規定されていると述べた。,"Trực tiếp trả lời từng kiến nghị của doanh nghiệp, Thủ tướng bày tỏ sự chia sẻ với những băn khoăn của doanh nghiệp và cho biết nghị quyết đã có mục riêng về hỗ trợ đất đai cũng như vốn cho doanh nghiệp vừa và nhỏ.",https://www.vietnam.vn/ja/kinh-te-tu-nhan-tru-cot-chien-luoc-quoc-gia-trong-thoi-ky-moi,https://hanoimoi.vn/kinh-te-tu-nhan-tru-cot-chien-luoc-quoc-gia-trong-thoi-ky-moi-702650.html,,
180,爽やかな,さわやかな,"tươi mới, trong lành",会議で演説したグエン・ホア・ビン常任副首相は、「今日のラムドン省は雄大な自然、爽やかな気候、穏やかな人々の土地であるだけでなく、開かれた投資機会、有利な政策、そして向上への強い願望が融合した場所でもある」と強調した。,"Phát biểu chỉ đạo tại Hội nghị, Phó Thủ tướng Thường trực Chính phủ Nguyễn Hòa Bình nhấn mạnh: “Lâm Đồng hôm nay không chỉ là vùng đất của thiên nhiên hùng vĩ, khí hậu trong lành và con người hiền hòa, mà còn là điểm hội tụ của những cơ hội đầu tư rộng mở, những chính sách thuận lợi và khát vọng vươn lên mạnh mẽ”.",https://www.vietnam.vn/ja/lam-dong-diem-hoi-tu-cua-co-hoi-va-khat-vong-dau-tu,https://daibieunhandan.vn/lam-dong-diem-hoi-tu-cua-co-hoi-va-khat-vong-dau-tu-10390070.html,,
181,基本的な,きほんてきな,cơ bản,計画期間中の重要な任務の一つは、科学技術、イノベーション、デジタル変革を主な原動力として、新たな成長モデルを確立しながら、国家インフラの枠組みを基本的に形成することです。,"Một trong những nhiệm vụ trọng tâm trong thời kỳ quy hoạch là hình thành cơ bản bộ khung kết cấu hạ tầng quốc gia đồng thời xác lập mô hình tăng trưởng mới, lấy khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số là động lực chính.",https://www.vietnam.vn/ja/viet-nam-dat-muc-tieu-gdp-binh-quan-8-500-usd-nguoi-vao-nam-2030,https://dantri.com.vn/kinh-doanh/viet-nam-dat-muc-tieu-gdp-binh-quan-8500-usdnguoi-vao-nam-2030-20251007144945804.htm,,
182,当然な,とうぜんな,hiển nhiên,「今年の受賞者たちの研究は、経済成長を当然のことと見るべきではないことを示しています。停滞を避けるためには、創造的破壊を支えるメカニズムを維持する必要があります」と、 経済学賞委員会のジョン・ハスラー委員長は述べた。,"Chủ tịch Ủy ban Giải thưởng Khoa học Kinh tế, ông John Hassler, cho biết: “Công trình của những người đoạt giải năm nay cho thấy không nên xem nhẹ tăng trưởng kinh tế. Chúng ta cần phải duy trì các cơ chế tạo nền tảng cho sự hủy diệt mang tính sáng tạo để không rơi vào tình trạng trì trệ.”",https://www.vietnam.vn/ja/giai-nobel-kinh-te-2025-ton-vinh-3-nha-khoa-hoc,https://www.vietnamplus.vn/giai-nobel-kinh-te-2025-ton-vinh-3-nha-khoa-hoc-post1070096.vnp,,
183,政治的な,せいじてきな,chính trị,農業生産企業の視点から、OCOPセンター社のトラン・ティ・トゥ・トゥイ取締役は、民間経済発展に関する決議第68号は政治的な方向性を示すだけでなく、民間企業界の非常に現実的な期待でもあると述べた。,"Từ góc độ doanh nghiệp sản xuất nông sản, bà Trần Thị Thu Thủy, Giám đốc Công ty OCOP Center cho rằng, Nghị quyết số 68 về phát triển kinh tế tư nhân, không chỉ mang tính định hướng chính trị, mà còn là kỳ vọng rất thực tế của cộng đồng doanh nghiệp tư nhân. ",https://www.vietnam.vn/ja/cai-cach-the-che-kien-tao-dong-luc-cho-kinh-te-tu-nhan-phat-trien,https://baodanang.vn/cai-cach-the-che-kien-tao-dong-luc-cho-kinh-te-tu-nhan-phat-trien-3187265.html,,
184,安定な,あんていな,ổn định,2025年の公共投資資本計画の100％支出に重点を置き、停滞しているプロジェクトの困難を取り除き、速やかに主管部門に報告してこれらのプロジェクトへの資金投入を行う。食料とエネルギーを中心とした物価情勢をコントロールし、民生の安定を確保する。二級地方政府運営における困難や障害の推進、検査、督促、検討、解決を強化し、創造力を強化し、人民に奉仕し、特に社級において、積極的、自発的、自立的な社会変革を促進する。,"Tập trung giải ngân 100% kế hoạch vốn đầu tư công năm 2025; tháo gỡ khó khăn cho các dự án vướng mắc, sớm trình cấp có thẩm quyền để giải phóng nguồn lực tại các dự án này. Kiểm soát tình hình giá cả hàng hóa, nhất là thực phẩm, năng lượng để bảo đảm ổn định đời sống nhân dân. Tăng cường thúc đẩy, kiểm tra, đôn đốc, rà soát, giải quyết khó khăn, vướng mắc trong vận hành chính quyền địa phương 2 cấp, tăng cường kiến tạo, phục vụ nhân dân, phát huy tính chủ động, tinh thần tự lực, tự cường, nhất là cấp xã. ",https://www.vietnam.vn/ja/on-dinh-kinh-te-vi-mo-kiem-soat-lam-phat-thuc-day-tang-truong-kinh-te-tu-8-3-8-5,https://baohaiphong.vn/on-dinh-kinh-te-vi-mo-kiem-soat-lam-phat-thuc-day-tang-truong-kinh-te-tu-8-3-8-5-520654.html,,
185,ヘルシーな,ヘルシーな,tốt cho sức khỏe,和食がお好みなんだ。和食はヘルシーだし、見た目がきれいだってお気に入りなんだよ,"Anh/chị ấy thích món Nhật. Vì món Nhật vừa tốt cho sức khỏe, lại còn có vẻ ngoài đẹp nên rất ưa chuộng.",「BJTビジネス日本語能力テスト 模試と対策」p.114,,,
186,きれいな,きれいな,"đẹp, sạch","ブンアン経済特区、特にキアン町全般で生産・取引を行う企業と人々の日常生活用のきれいな水の需要を満たすために、ハティン給水株式会社は2017年にハティン経済特区給水センターから機能、タスク、人員、資産の現在の状態を受領し、管理しました。これには、あらゆる種類の給水パイプ320 kmと2つの処理ステーションが含まれます。そのうち、1番目のステーションは昼夜9,000m³の処理能力があり、2番目のステーションは昼夜3,000m³の処理能力があり、ブンアン経済特区、キアン町、キアン郡のいくつかのコミューンに生活用水を供給する機能を果たします。","Để đáp ứng nhu cầu nước sạch sinh hoạt cho người dân cũng như các doanh nghiệp đang sản xuất, kinh doanh trong KKT Vũng Áng nói riêng, thị xã Kỳ Anh nói chung, vào năm 2017, Công ty CP Cấp nước Hà Tĩnh tiếp nhận và quản lý hiện trạng chức năng, nhiệm vụ, nhân sự và tài sản từ Trung tâm Cấp nước Khu kinh tế Hà Tĩnh, trong đó có 320 km đường ống cấp nước các loại và 2 trạm xử lý, trong đó trạm thứ nhất có công suất 9.000m³/ngày đêm, trạm thứ 2 có công suất 3.000m³/ngày đêm để thực hiện chức năng cung cấp nước sinh hoạt cho KKT Vũng Áng, thị xã Kỳ Anh và một số xã thuộc huyện Kỳ Anh.",https://www.vietnam.vn/ja/no-luc-cung-ung-nguon-nuoc-sach-cho-vung-kinh-te-trong-diem,https://baohatinh.vn/no-luc-cung-ung-nguon-nuoc-sach-cho-vung-kinh-te-trong-diem-post289661.html,,
187,多機能な,たきのうな,đa chức năng,新しい改札機には多機能リーダーが統合されており、ICチップ付きIDカードから国際決済カードまで、あらゆる種類のカードを認識・処理できます。,"Các cổng soát vé mới tích hợp đầu đọc đa chức năng, có thể nhận diện và xử lý mọi loại thẻ - từ căn cước công dân gắn chip đến thẻ thanh toán quốc tế.",https://www.vietnam.vn/ja/mat-0-2-giay-de-thanh-toan-ve-tau-cat-linh-ha-dong,https://vietnamnet.vn/mat-0-2-giay-de-thanh-toan-ve-tau-cat-linh-ha-dong-2449980.html,,
188,可能な,かのうな,khả năng,統一され、執行力の高い法令は、投資資源を解放し、持続可能な農場開発を促進し、農業経済部門へのより効果的な貢献に役立つだろう,"Một nghị định thống nhất, mang tính thực thi cao sẽ giúp khơi thông nguồn lực đầu tư, thúc đẩy trang trại phát triển bền vững và đóng góp hiệu quả hơn cho khu vực kinh tế nông nghiệp",https://www.vietnam.vn/ja/phat-trien-kinh-te-trang-trai-hien-dai-ben-vung-can-tu-duy-moi-chinh-sach-vuot-troi,https://baochinhphu.vn/phat-trien-kinh-te-trang-trai-hien-dai-ben-vung-can-tu-duy-moi-chinh-sach-vuot-troi-102251024173039867.htm,,
189,知的な,ちてきな,trí tuệ ,副首相は、「ベトナムの経済的強靭性：内的強さからグローバルバリューチェーンへ」をテーマとする今年のベトナム新経済フォーラムを歓迎し、国内外の専門家、科学者、経営者から率直で客観的、かつ知的な方法で多くの貴重な意見をいただき、国家の仕組み、政策、解決策を効果的に完成させることに貢献したいと期待している。,"Hoan nghênh Diễn đàn Kinh tế mới Việt Nam năm nay với chủ đề “Sức bật kinh tế Việt Nam: Từ nội lực tới chuỗi giá trị toàn cầu”, Phó Thủ tướng mong muốn sẽ nhận được nhiều ý kiến góp ý quý báu của các chuyên gia, nhà khoa học trong nước, quốc tế và các nhà quản lý một cách thẳng thắn, khách quan, trí tuệ để góp phần hoàn thiện cơ chế, chính sách, giải pháp của Nhà nước một cách hiệu quả.",https://www.vietnam.vn/ja/suc-bat-kinh-te-viet-nam-tu-noi-luc-toi-chuoi-gia-tri-toan-cau,https://huengaynay.vn/kinh-te/suc-bat-kinh-te-viet-nam-tu-noi-luc-toi-chuoi-gia-tri-toan-cau-158415.html,,
190,最重要な,さいじゅうような,quan trọng hàng đầu,スイスのアムヘルド大統領は、ベトナムは東南アジアにおける最優先かつ最重要な経済パートナーであると断言した。,Tổng thống Thụy Sĩ Amherd khẳng định Việt Nam là đối tác kinh tế ưu tiên và quan trọng hàng đầu tại Đông Nam Á.,https://www.vietnam.vn/ja/thuy-si-coi-viet-nam-la-doi-tac-kinh-te-quan-trong-hang-dau-o-dong-nam-a,https://www.vietnam.vn/thuy-si-coi-viet-nam-la-doi-tac-kinh-te-quan-trong-hang-dau-o-dong-nam-a,,
191,技術的な,ぎじゅつてきな,kỹ thuật,カンボジアのクメール語メディアもベトナムの数字に感銘を受けており、技術的な観点から見れば、ベトナムの現在の経済成長は長期にわたる政治的安定と、40年近くにわたる経済改革政策の成果の結果であると述べた。,"Truyền thông tiếng Khmer tại Campuchia cũng ấn tượng với số liệu của Việt Nam khi cho rằng, nếu nhìn nhận từ góc độ kỹ thuật, đà tăng trưởng hiện nay của kinh tế Việt Nam là kết quả của sự ổn định chính trị lâu dài và thành quả của gần 40 năm thực hiện chính sách cải cách kinh tế.",https://www.vietnam.vn/ja/truyen-thong-quoc-te-an-tuong-truoc-kha-nang-tang-truong-cua-kinh-te-viet-nam,https://nhandan.vn/truyen-thong-quoc-te-an-tuong-truoc-kha-nang-tang-truong-cua-kinh-te-viet-nam-post913610.html,,
192,活動的な,かつどうてきな,"năng động, năng nổ",ダン・ホアイ・ハン氏は、ビジネス界で「泥足」であるだけでなく、青年連合の活動的な役員でもあります。高校時代から青年連合の活動に参加し、学生時代には党に入党する栄誉に浴しました。,"Không chỉ ""chân lấm tay bùn"" làm kinh tế, anh Danh Hoài Hận còn là một cán bộ Đoàn năng nổ. Anh Hận tham gia công tác Đoàn từ những năm học phổ thông và vinh dự được kết nạp Đảng khi là sinh viên.",https://www.vietnam.vn/ja/thanh-nien-khmer-lam-giau-tren-dat-nhiem-man-voi-thu-nhap-kep,https://tienphong.vn/thanh-nien-khmer-lam-giau-tren-dat-nhiem-man-voi-thu-nhap-kep-post1785596.tpo,,
193,肝心な,かんじんな,"quan trọng nhất, mấu chốt",これが肝心です。政府・財務省が決議を出すまでに何年もかかったのは、この分野に優秀な人材が依然として不足しているからです。,Đây chính là điểm mấu chốt. Nguyên nhân khiến Chính phủ và Bộ Tài chính mất nhiều năm mới có thể ban hành Nghị quyết là vì nguồn nhân lực chất lượng cao trong lĩnh vực này còn quá thiếu.,https://www.vietnam.vn/ja/thi-diem-thi-truong-tai-san-so-co-hoi-lon-thach-thuc-nhieu,https://baotintuc.vn/kinh-te/thi-diem-thi-truong-tai-san-so-co-hoi-lon-thach-thuc-nhieu-20250927093058981.htm,,
194,盛大な,せいだいな,hoành tráng,パーティーの方は、会社として盛大にやるらしいんだけど、打ち上げは2次会だし、部内だけでうちうちにって部長に言われててさ。,"Tiệc của công ty thì nghe nói sẽ làm hoành tráng lắm, nhưng tiệc liên hoan thì chỉ là buổi 2 thôi. Trưởng phòng bảo là cứ làm trong nội bộ thôi.",「BJTビジネス日本語能力テスト 模試と対策」p.84,,,
195,雑な,ざつな,cẩu thả,ああ、そうだねえ。いつものところは最近仕事が雑になってきたからねえ。,"À, đúng nhỉ. Chỗ hay đi gần đây công việc làm hơi cẩu thả rồi",「BJTビジネス日本語能力テスト 模試と対策」p.78,,,
196,抜本的な,ばっぽんてきな," triệt để, quyết liệt",ベトナムが現在の課題を克服するための政策提言に関して、メダス氏は、政府は2022年と2023年初頭のショック後の経済成長を支援するためにかなり抜本的な措置を講じてきたと述べた。,"Khuyến nghị về mặt chính sách để Việt Nam vượt qua các thách thức hiện nay, ông Medas cho rằng hiện nay chính phủ đã có những biện pháp khá quyết liệt để giúp nền kinh tế tăng trưởng sau những cú sốc năm 2022 và đầu năm 2023.",https://www.vietnam.vn/ja/kinh-te-viet-nam-phuc-hoi-nhanh-nho-nhung-hanh-dong-quyet-liet,https://baophutho.vn/chuyen-gia-imf-kinh-te-viet-nam-phuc-hoi-nhanh-nho-nhung-hanh-dong-quyet-liet-215221.htm,,
197,多用な,たような,bận rộn,先日はご多用中のところをご来社くださり、ありがとうございました。 ,Xin cảm ơn ông/bà trong thời điểm bận rộn đã dành thời gian quý báu đến thăm công ty chúng tôi hôm trước.,「BJTビジネス日本語能力テスト 模試と対策」p.61,,,
198,不安定な,ふあんていな,"không ổn định, biến động",米株式市場は不安定な週を過ごした。投資家心理は米連邦準備制度理事会（FRB）の声明、予想を上回る経済データ、金融政策の見通しに関するまちまちのシグナルに左右された。,"Thị trường chứng khoán Mỹ đã trải qua một tuần đầy biến động, khi tâm lý nhà đầu tư bị chi phối bởi những phát biểu từ Cục Dự trữ liên bang Mỹ (Fed), dữ liệu kinh tế vượt kỳ vọng và các tín hiệu trái chiều về triển vọng chính sách tiền tệ. ",https://www.vietnam.vn/ja/s-p-500-va-nasdaq-cham-dut-chuoi-ba-tuan-tang-lien-tiep,https://baotintuc.vn/thi-truong-tien-te/sp-500-va-nasdaq-cham-dut-chuoi-ba-tuan-tang-lien-tiep-20250927140937234.htm,,
199,相当な,そうとうな,"đáng kể, khá lớn",8月7日に開催された政府の定例会議で、国家銀行総裁のグエン・ティ・ホン氏は、 経済要因と市場心理の二重の影響により、為替レートが相当な圧力にさらされていることを認めた。,"Tại phiên họp thường kỳ Chính phủ tháng 7 vừa diễn ra ngày 7-8, Thống đốc Ngân hàng Nhà nước Nguyễn Thị Hồng nhìn nhận tỉ giá đang chịu áp lực khá lớn, do tác động kép từ yếu tố kinh tế và tâm lý thị trường. ",https://www.vietnam.vn/ja/ti-gia-usd-tai-viet-nam-va-du-bao-lai-suat-trong-boi-canh-the-gioi,https://nld.com.vn/gia-usd-tai-viet-nam-lien-tuc-tang-ngan-hang-nha-nuoc-noi-gi-196250805114546322.htm,,
200,地道な,じみちな,nỗ lực bền bỉ,最近、ベトナムにおける自動車の現地調達率はわずか5～20%に過ぎないという見方が広まり、懐疑的な見方が広がっています。しかし、大手メーカーのデータは全く異なる結果を示しており、ベトナムにおけるサプライチェーン構築に向けた各社の地道な努力が伺えます。,"Gần đây, có ý kiến cho rằng tỷ lệ nội địa hóa ô tô tại Việt Nam chỉ đạt từ 5-20%, một con số gây nhiều hoài nghi. Tuy nhiên, dữ liệu từ các nhà sản xuất lớn lại cho thấy một câu chuyện hoàn toàn khác, phản ánh nỗ lực bền bỉ của họ trong việc xây dựng chuỗi cung ứng tại Việt Nam.",https://www.vietnam.vn/ja/ty-le-noi-dia-hoa-o-to-viet-nam-thuc-te-va-tham-vong,https://baonghean.vn/ty-le-noi-dia-hoa-o-to-viet-nam-thuc-te-va-tham-vong-10308174.html,,
201,人間的な,にんげんてきな,mang tính con người,こうした真の親睦を通して、ザ・ハイはより「人間的」で、親しみやすく、顧客に近い存在へと成長していきます。 ,"Từ sự đồng hành chân thực đó mà The High cũng trở nên ""con người"" hơn, dễ tiếp cận và gần gũi với khách hàng.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
